title;type;start;end;row;tooltip;class
Voyage de Zhang Qian;period;-138;-126;row17;-138 => -126</br>Date d'ouverture de la route de la soie fixée par les chinois;zhangqian
Trois Royaumes;period;220;280;row18;220 => 280</br>Chine;chine1 carre full
Dynastie Jin de l'Ouest;period;265;316;row19;265 => 316;chine2 carre full
Dynastie Jin de l'Est;period;316;420;row19;317 => 420;chine1 carre full
Dynastie Song du Sud;period;420;479;row19;420 => 479;chine2 carre full
Dynastie Qi du Sud;period;479;502;row19;479 => 502;chine1 carre full
Dynastie Liang;period;502;557;row19;502 => 557;chine2 carre full
Dynastie Chen;period;557;589;row19;557 => 589;chine1 carre full
Dynastie Sui;period;581;618;row18;581 => 618;chine2 carre full
Dynastie Lang;period;618;690;row18;618 => 690;chine1 carre full
Dynsatie Tang;period;705;907;row18;705 => 907;chine2 carre full
Cao Pi fonde le royaume de Wei;event;220;;row19;Il dépose l'empereur Xiandi</br>Il met ainsi fin à la dynastie Han;bulle full
Sima Yan mène un coup d'État;event;265;;row20;Le fondateur de la dynastie Jin</br>Coup d'État contre le royaume de Wei;bulle full
Annexion du royaume de Wu;event;280;;row17;Par Sima Yan, fondateur de la dynastie Jin</br>Il met ainsi fin aux 3 royaumes;bulle full
;;;;;;
Royauté;period;-753;-509;row3 / span 2;-753 => -509</br>Rome;rome1 carre full
République romaine;period;-509;-27;row3 / span 2;-509 => -27;rome2 carre full
Guerre civile romaine;period;-127;-27;row1;-127 => -27;rome1
Jules César;period;-63;-44;row3;-63 => -44</br>Pontifex maximus adoré du peuple;rome1 rec13
Empire romain d'occident;period;-27;476;row3 / span 2;-27 => 476;rome1 carre full
Empire romain;period;476;1453;row2;-27 => 476 => 1453;rome2 carre full
Fondation de Rome;event;-753;;row4;Par Romulus et Remus</br><img src='https://aegidius.elis-management.com/-753.Romulus.Remus.jpg' width='160'>;bulle full
Tarquin le Superbe est chassé;event;-509;;row4;Il était le dernier roi;bulle full
Jules César devient consul;event;-59;;row4;Pour la première fois;bulle full
Conquête de la Gaule;event;-52;;row4;Par Jules César;full
Jules César devient dictateur;event;-49;;row4;Pour la première fois;bulle full
Jules César est assassiné;event;-44;;row4;Par Brutus et Cassius;bulle full
Octave est proclamé Auguste;event;-27;;row4;Descendant testamentaire de Jules César;bulle full
<strong>Pline l'ancien</strong></br><em>Historia Naturalia</em>;event;77;;row4;;full
Erruption du Vésuve;event;79;;row4;Pompéi;bulle full
L'empire romain comprend maintenant l'orient;event;286;;row5 / span 2;;trois
Chute de l'empire romain d'occident;event;476;;rowhist1;; 
Chute de l'empire romain d'orient;event;1453;;row1;;full
;;;;;;
Démocratie athénienne;period;-510;-221;row14;-510 => ?;rome2 carre full ouvert
Ordre dorique;period;-650;-348;row13;-650 => ?</br>Grèce</br>Sans décor</br><img src='https://www.ledifice.net/6033-2-8.jpg' width='160'>;ordre ouvert
Ordre ionique;period;-500;-323;row12;-500 => ?</br>Grèce</br>Volutes</br><img src='https://img.over-blog.com/150x120/1/17/12/99/IMAGES-10---2011/Chapiteau-ionique.jpg' width='160'>;ordre ouvert
Style corinthien;period;-380;-206;row11;-380 => ?</br>Feuilles d'acanthe</br><img src='https://static.techno-science.net/illustration/Definition/180px/Corinthian-capital.jpg' width='160'>;ordre ouvert
Art hellénistique;period;-323;-31;row10;-323 => -31</br>Grèce</br>Sculpture, figure humaine, portraits, scènes mythologiques, scènes de la vie quotidienne, scènes de grande passion (pathos)</br><img src='https://www.arsmundi.de/media/a1/1f/92/1689683634/amMagazin_Hellenismus_Content2.jpg' width='160'>;hellenistique
La cité d'Athènes renverse ses tyrans;event;-510;;row15;;full
Platon meurt;event;-348;;row15;Athènes</br>Philosophe;bulle full
Mort d'Alexandre le Grand;event;-323;;row9;Roi de Macédoine;bulle full
Défaite de Cléopâtre VII;event;-31;;row9;À la bataille d'Actium, en Grèce;bulle full
;;;;;;
;;;;;;
Art Roman, normand, bizantin, lombard, saxon;period;768;1100;row6;768 => 1100</br><img src='https://www.romanes.com/media/thumb/thb-FR-Autun-Saint_Lazare-2778-0023.jpg' width='160'>;gothique
Gothique;period;1100;1300;row6;1100 => 1300</br><img src='https://www.romanes.com/media/thumb/thb-FR-Bayeux-Notre_Dame-T011-0014.jpg' width='160'>;gothique
Gothique flamboyant;period;1350;1500;row10;1350 => 1500</br>Ornement à outrance, flammes</br><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Capilla_de_los_Condestables_(Catedral_de_Burgos)._Exterior.jpg/180px-Capilla_de_los_Condestables_(Catedral_de_Burgos)._Exterior.jpg' width='160'>;gothique
Gothique international;period;1380;1420;row10 / span 2;1380 => 1420</br>Flandre, Italie</br>Tons vifs, précision des étoffes / drapés</br><img src='https://www.rivagedeboheme.fr/medias/images/colart-de-laon-priere-dans-le-jardin-avec-le-donateur-louis-ier-d-orleans-1408.jpg?fx=c_120_120' width='160'>;gothique rec13
Rupture;event;1100;;row5;;
;;;;;;
Socialisme utopiste;period;1800;1850;row19;1800 => 1850</br><strong>Fourier, Proudon</strong></br>Philosophie esthétique de la machine;utopiste
<strong>Saint-Simon</strong>;event;1848;;row19;Penseur de la société industrielle française;transp bulle
Âge d'or des Shakers;period;1820;1860;row20;1820 => 1860</br>Angleterre puis États-Unis</br>Les shakers : 1747 => 1996;shaker
;;;;;;
Impressionnisme;period;1841;1926;row22;1841 => 1926</br>International</br>Représenter la lumière, s'oppose à l'académisme;impressionnisme
"<mark class=""technique"">Peinture en tube</mark>";event;1841;;row21;Inventée par <strong>John Goffe Rand</strong>;bulle
<strong>Claude Monet</strong> Impression soleil levant</em>;event;1872;;row22;<img src='https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa_xgiDFF6jUzztxYR1Rd0qMuT4L5h5xXKpA&s' width='160'>;transp bulle full
Postimpressionnisme;period;1880;1910;row22 / span 2;1880 => 1910;postimpressionnisme
Pointillisme;period;1884;1900;row21;1884 => 1900</br>France, Belgique</br><strong>George Seurat, Paul Signac, Camille Pissaro, Maximilien Luce, Théo va Rysselberghe;pointillisme rec13
Deux expositions de cette nouvelle touche;event;1886;;row20;Une critique emploie pour la première fois le terme pointillisme;bulle full
Fauvisme;period;1903;1910;row21;1903 => 1910</br>Europe</br>Couleurs et lumières > dessin;fauvisme rec13
;;;;;;
<strong>Vitruve</strong></br><em>De architectura</em>;event;-15;;row7;Traité à l'origine du rationalisme : l'architecture est une science qui peut être appréhendée rationnellement;vitruve bulle full
Renaissance;period;1400;1700;row7 / span 4;1400 => 1700</br>On arrête avec le médiéval et on s'inspire de l'art de l'antiquité gréco-romaine, plus seulement art religieux, entrée dans la sphère privée.</br>Et on fait plein de découvertes scientifiques et techniques.</br>Séparation art / technique : art / artisanats;renaissance full
Traités architecturaux;period;1400;1700;row7;1400 => 1700</br>Écrits pendant la Renaissance, ils annoncent les prémices du rationnalisme architectural;rationalisme rec13
Renaissance nordique;period;1430;1580;row6;1430 => 1580</br>Pays-Bas, Flandre, Hollande, Allemagne</br>Influence de l'humanisme</br><img src='https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg/116px-Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg' width='160'></br>Hans Holbein Le Jeune, The Ambassadors, 1533;rennordique rec13
